question,ground_truth_doc_id,ground_truth_text
Что такое отток капитала?,340,"В новостях говорят про отток капитала. Но что это значит? Стоит ли опасаться, что страна беднеет? Как с этим бороться и надо ли? Разбираемся, как все устроено. И почему за оттоком капитала невольно ищешь негативный подтекст. Спойлер: отток капитала скорее говорит о хорошем спросе на российскую продукцию за рубежом. ## Что такое отток капитала и как его считают?

Когда мы слышим «отток капитала», нам кажется, что деньги утекают, и скорее всего, из нашего кармана. Поэтому этот термин нередко воспринимают негативно. Но на самом деле это просто движение денег, связанное с экономическими потребностями компаний и людей.

Представьте: вы ведете бизнес с Китаем — например, продаете двигатели для самолетов, а покупаете станки для их производства. Все расчеты в Китае возможны только в юанях. Если вы заработали б"
"Что делать, если пришло сообщение «Ваша карта заблокирована» с просьбой позвонить на неизвестный номер или перейти по ссылке?",342,"Пришло сообщение: «Ваша карта заблокирована». Почему это могло произойти и что теперь делать? Прежде всего не паниковать и не суетиться: чаще всего блокировка карты — это способ обезопасить ваши деньги. Банковская карта — это всего лишь инструмент, который дает доступ к вашему банковскому счету. Когда карту блокируют, по ней нельзя совершать переводы и платежи, а также снимать наличные. При этом деньги остаются на вашем счете.

Если вам пришло сообщение о блокировке банковской карты с просьбой срочно позвонить на какой-то неизвестный номер или перейти по ссылке, не торопитесь это делать. Такие СМС и письма по электронной почте нередко рассылают мошенники.

В случае проблем с картой звоните "
Что получают инвесторы при покупке акций компании?,191,"Чтобы запустить новый продукт, расширить географию поставок или модернизировать производство, предпринимателям часто нужно дополнительное финансирование. Один из вариантов привлечь деньги — выпустить свои ценные бумаги и найти инвесторов через биржу. Рассказываем, как это сделать и сколько может стоить. Малые и средние предприятия (МСП) могут одолжить деньги в банке или микрофинансовой организации (МФО), которая работает с предпринимателями, воспользоваться краудфандингом или факторингом. Но в некоторых случаях выгоднее эмитировать (выпустить) акции или облигации.

Выпуская акции, вы предлагаете инвесторам долю в вашей компании. Они смогут рассчитывать на дивиденды — обычно на это уходит часть прибыли. Вы не гарантируете инвесторам доход, но они станут совладельцами вашего бизнеса и получат п"
"Что делать первым делом, если финансовая компания нарушила ваши права?",225,"Вы взяли кредит, купили страховку или положили деньги в банк, но результаты не радуют. Платежи по кредиту оказались выше обещанных, страховку не выплачивают, вместо вклада вам навязали другой продукт... Разбираемся, кто поможет защитить ваши права и в какой ситуации в какое ведомство стоит обращаться. Считаете, что финансовая компания нарушила ваши права — первым делом обратитесь **в саму организацию**. Найдите на сайте компании официальный электронный или почтовый адрес и отправьте на него претензию. У некоторых организаций на сайтах и в мобильных приложениях есть специальные формы для обращений — можно воспользоваться ими.

Еще один вариант — прийти в офис компании и подать жалобу лично. В таком случае нужно составить претензию в двух экземплярах, попросить сотрудника организации простави"
"Кто составил новую подборку книг, упомянутую в тексте?",311,"Продолжаем серию ежемесячных подборок книг, которые руководители Банка России рекомендуют прочесть. К каждой книге они оставляют свои комментарии, чтобы было проще разобраться, будет ли она вам интересна и стоит ли тратить на нее время.Новая подборка — от директора Департамента противодействия недобросовестным практикам Валерия Ляха. ## О технологиях, человеческих страстях и о том, как они меняют окружающий мир

Эти книги о нашем прошлом, настоящем и будущем. Речь в них идет не только о сфере финансов и экономики, но и о жизни общества в целом. Авторы напоминают нам, что главный драйвер изменений — это люди. Каждый может повлиять на ход истории, если решится на это. Будет ли такое решение верным, зависит от множества факторов, например от того, как хорошо вы понимаете устройство экономической системы и принципы человеческо"
В течение какого срока стоит проводить раздел имущества после развода?,173,"Когда семейная жизнь заканчивается разводом, это может грозить не только душевными травмами, но и финансовыми потерями. Рассказываем, как бывшим супругам разделить имущество, финансовые активы и долги. Далеко не всегда у супругов есть брачный договор, развод проходит мирно и удается полюбовно договориться о том, кому что достанется. Если противоречия непреодолимы, любой из супругов может подать иск в суд о разделе имущества.

Суды всегда рассматривают ситуацию каждой семьи отдельно, принимают в расчет множество факторов, и заранее предсказать их решения невозможно. Но лучше хотя бы примерно представлять, на что можно рассчитывать.

Раздел имущества стоит проводить в течение трех лет после "
Что состоит из ежемесячного взноса по кредиту?,157,"Некоторые банки при оформлении кредитного договора предлагают заемщикам выбрать аннуитетный или дифференцированный способ погашения долга. Разбираемся, чем они различаются и какой график платежей выгоднее. Когда вы берете кредит, то должны постепенно вернуть банку выданную сумму — так называемый **основной долг,** или **тело кредита**. И плюс к этому заплатить **проценты** за использование заемных денег.

Поэтому ежемесячный взнос по кредиту всегда состоит из двух частей: какой-то доли основного долга и набежавших процентов.

Проценты по кредиту начисляются не на весь долг, а лишь на остаток — ту сумму, которую вы еще не вернули банку. И только за то время, когда вы пользовались кредитом. Поэт"
Что такое каско?,43,"Покупая автомобиль, мы приобретаем вместе с ним и опасения за его сохранность, ведь авария или угон могут обернуться большими тратами. Кто-то полагается на удачу, но избежать непредвиденных расходов можно с помощью страхования — автокаско, или просто каско. ## Что такое каско и от чего оно защищает?

Каско — это страхование транспортного средства (ТС) на случай его повреждения или угона. Страховкой каско можно воспользоваться, даже если автомобиль или, мотоцикл пострадали по вине владельца. Если машина попадет в аварию, на нее упадет сосулька с крыши или даже сам водитель не впишется в двери гаража, каско может покрыть убытки.

Обычно владельцы ТС приобретают полисы каско по собственному желанию. Но при покупке автомобиля в кредит лучше не отка"
Что такое паевой инвестиционный фонд (ПИФ)?,268,"Чтобы собрать хорошо сбалансированный по доходности и рискам инвестиционный портфель, потребуется немало опыта, денег и времени. Но даже выбрав подходящие инструменты, расслабиться не выйдет. Нужно постоянно следить, какие бумаги стоит докупить, а от чего лучше избавиться. Для тех, кто не готов к такому подходу, есть альтернатива — паевые инвестиционные фонды (ПИФы). В них можно вложить даже небольшую сумму, а управлять процессом будут профессионалы. Рассказываем, в чем преимущества и риски ПИФов. ## Что такое ПИФ и как на нем заработать?

**Паевой инвестиционный фонд (ПИФ)** объединяет деньги инвесторов и вкладывает их в разные активы — например, в акции, облигации, недвижимость.

Пай — это доля в таком коллективном инвестиционном портфеле. Можно купить один пай или несколько и, если их цена вырастет, заработать при продаже. Некоторые ПИФы выплачивают пайщикам их часть дивидендов и купонов по входящим в фонд бумагам. В таких случаях вы получаете прибыль и без продажи пая.

Средства"
Какие три вещи нельзя изменить в полисе ОСАГО?,125,"Александр нашел работу недалеко от дома и практически перестал садиться за руль. А его жена, наоборот, получила права, чтобы было удобнее возить детей на кружки. Но пользоваться машиной она сможет, только если вписать ее в полис ОСАГО. Рассказываем, какие изменения разрешается вносить в страховку, а в каких случаях придется оформить новый полис. Пока действует полис ОСАГО, вы обязаны сразу же сообщать своему страховщику о любых изменениях данных, которые указывали при оформлении договора. Если этого не сделаете и станете виновником ДТП, страховщик выплатит возмещение потерпевшему, но затем может потребовать у вас компенсацию убытков.

## Какие исправления разрешается вносить в полис ОСАГО, а какие нет?

Нельзя поменять всего три вещи:

* **переоформить договор на другого страхователя** (но если владелец полиса просто сменит фамили"
Что такое ДСАГО?,9,"Даже самый опытный и аккуратный водитель иногда становится виновником ДТП. Если авария серьезная, а поврежденная машина дорогая, выплаты по ОСАГО не покрывают нанесенный ущерб полностью, и виновник аварии должен возместить разницу самостоятельно. В таких случаях помогает полис ДСАГО. Рассказываем, что такое ДСАГО и как его оформить. ДСАГО — это добровольное страхование автогражданской ответственности. Если владелец полиса ДСАГО повредит чужой автомобиль даже на очень большую сумму, платить будет не он, а его страховая компания.

## Чем отличается ДСАГО от ОСАГО?

ДСАГО дополняет ОСАГО. ДСАГО начинает работать в том случае, если выплаты по ОСАГО оказывается недостаточно для компенсации ущерба пострадавшим. По договору ДСАГО сумму максимального покрытия вы выбираете сами из предложенных страховщиком вариантов — хоть до 30"
Какие группы классификации платежных карт упоминаются в тексте?,30,"Разбираемся в видах платежных карт: в чем отличие дебетовой карты от кредитной, международной от локальной, экспресс-карты от классической, для чего нужны предоплаченные карты и кому подойдет овердрафт. По закону «О национальной платежной системе» банковские карты, как и электронные кошельки, — это электронные средства платежа. Другими словами, альтернатива наличным деньгам.

## Какие бывают платежные карты?

Официальной классификации платежных карт нет, но можно разграничить их на три группы:

1. По типу платежной системы.
2. По типу операций, которые можно совершать.
3. По времени оформления карты.

### По типу платежной системы:

1. Международные.
2. Локальные.

#### **Междуна"
Как рассчитывается необлагаемая налогом сумма дохода по вкладам?,209,"С 2025 годаменяются правила, по которым рассчитывается налог на доход по вкладам. Разбираемся, как теперь определяется сумма к оплате, нужно ли подавать декларацию и в каких случаях можно избежать начисления налога. ## Как рассчитывают налог на вклады?

Федеральная налоговая служба (ФНС) получает информацию о доходе каждого вкладчика по всем его депозитам. Люди, у которых сумма процентов по вкладам за год превысит определенный лимит, должны будут заплатить налог на доходы физических лиц (НДФЛ).

Лимит зависит от ключевой ставки Банка России и срока депозита, а размер налоговой ставки — от дохода вкладчика.

## Как определяется сумма дохода по вкладам, которая не облагается налогом?

Нужно посмотреть"
Где можно получить онлайн-микрозаем?,174,"Случилось что-то непредвиденное, и срочно нужна небольшая сумма на короткий срок? Микрозаем можно получить, не выходя из дома. Главное — соблюдать меры предосторожности. ## Где взять онлайн-микрозаем?

Онлайн-микрозаймы могут выдавать микрофинансовые организации (МФО). Достаточно зайти на сайт такой МФО, заполнить анкету и указать паспортные данные.

МФО перечислит вам деньги на банковскую карту, счет или персонифицированный электронный кошелек.

Можно также оформить целевой заем при покупке в интернет-магазине. В этом случае МФО переведет деньги прямо на счет магазина.

Размер одобренной суммы, сроки и ставки онлайн-микрозайма будут рассчитываться индив"
Почему Банк России отзывает лицензию у финансовой организации?,64,"Если финансовая организация систематически нарушает законы, Банк России отзывает у нее лицензию. Рассказываем, как действовать, если ваш банк оказался ненадежным. ## Почему банк может лишиться лицензии?

Отзыв лицензии происходит в исключительных случаях. Например, у банка почти не осталось собственных средств, он не выдает деньги с вкладов, не проводит платежи клиентов, не сдает вовремя отчетность или нарушает законы.

Другими словами, есть признаки недобросовестной деятельности или серьезных финансовых проблем, из-за которых вкладчики могут потерять деньги. Отзыв лицензии — это способ защитить клиентов банка.

Не стоит путать отзыв лицензии с ее а"
"Кто выбрал книги в подборке о **Agile, форс-мажорах и страсти к бизнесу**?",5,"Продолжаем рассказывать о книгах, которые рекомендуют прочесть руководители Банка России. Их комментарии помогут быстро разобраться, чем книга может быть интересна для вас и стоит ли тратить на нее время.Новая подборка — от директора Департамента наличного денежного обращения Александра Лахтикова. ## Об Agile, форс-мажорах и страсти к бизнесу

Книги, которые я выбрал, рассматривают тему эффективного развития бизнеса с трех сторон. Это и художественный сюжет из мировой классики, и разбор японской методики управления командой, и автобиография успешного топ-менеджера. Уверен, что такая подборка даст вам множество полезных рекомендаций, которые помогут преуспеть в карьере. К некоторым из этих книг я иногда обращаюсь снова. Надеюсь, и у вас они вызовут не меньший интерес.

### Артур Хейли."
"Что такое договор коллективного страхования, который предлагает банк заемщику?",322,"Варвара собралась брать кредит. В банке обещали снизить ставку, если она застрахует свою жизнь и здоровье. Варваре такой вариант показался выгодным, и она согласилась. Но оказалось, что ей предлагают оформить не отдельный полис, а присоединиться к договору коллективного страхования клиентов банка. Разбираемся, в чем особенности групповой страховки и о каких ее подводных камнях важно знать. Банки заинтересованы в том, чтобы заемщики страховали свою жизнь и здоровье. Ведь в случае серьезной травмы или болезни, инвалидности или смерти клиента могут возникнуть проблемы с погашением кредита — а за застрахованного человека долг или его часть погасит страховая компания.

Нередко вместо покупки индивидуального полиса банки предлагают заемщикам присоединиться к коллективному договору страхования. Они заранее заключают соглашение со страховой компанией, а затем просто вписывают в этот док"
"Платит ли пассажир за обязательную страховую защиту при междугородних перевозках, или эту обязанность несёт перевозчик?",279,"Дмитрий покупал билеты онлайн на междугородний автобус. А когда их прислали на почту, увидел, что попутно оплатил еще и страховку, хотя он вроде ее не оформлял. Стоит она недорого, но нужна ли она вообще? И как теперь от нее отказаться? Перед оплатой Дмитрий не заметил, что в списке дополнительных услуг к билетам уже стояла галочка напротив страховки. И хотя продавцы различных сервисов не должны проставлять какие-либо отметки согласия вместо покупателя, некоторые фирмы до сих пор их используют. Или действуют еще агрессивнее: чтобы отказаться от полиса, человеку приходится нажимать на кнопку «беру все риски на себя».

На самом деле любой пассажир получает обязательную страховую защиту вместе с билетом. По закону ее оплачивает "
Какой первый признак мошенничества описан в тексте?,45,"У Ивана Сергеевича зазвонил телефон, номер был незнаком. Солидный мужской голос на фоне шума офиса звучал встревоженно: «Добрый день. Иван Сергеевич? Это служба безопасности банка „Лапша-Финанс“. Мы зафиксировали, что киберпреступники пытаются получить доступ к вашему личному кабинету. Надо срочно перевести все деньги на безопасный счет, иначе их украдут!» Иван Сергеевич немедленно положил трубку. Рассказываем, по каким признакам он вычислил обманщиков. Аферисты постоянно придумывают новые способы выманить у людей деньги или конфиденциальные данные для доступа к счетам. Но какой бы ни была легенда, есть пять примет, по которым можно сразу же вычислить мошенников.

## Признак 1. На вас выходят сами

Вам звонит незнакомец, присылает СМС-сообщение, электронное письмо или ссылку в мессенджере. Кем бы он ни представился — сотрудником банка, полиции, магазина, вашим троюродным братом-миллионером из Зимбабве — насторожитесь. Раз он стал инициаторо"
"Куда обращаться, чтобы узнать, были ли у умерших родственников акции и как переоформить их в наследство?",228,"Разбирая семейные архивы, Ольга обнаружила, что ее дедушка и бабушка были акционерами машиностроительного завода, на котором проработали много лет. Предприятие до сих пор существует. А вот родных уже нет, и непонятно, у кого узнать, что стало с их акциями. Рассказываем, как разыскать потерянные ценные бумаги и можно ли на них заработать. Поиск акций может оказаться непростой задачей. Сколько времени и денег потребуется на восстановление прав, зависит от многих факторов. Например, точно ли вы знаете, в какие активы вложились; что сейчас с компанией, которая выпустила бумаги; кто был владельцем акций — вы или ваши родственники.

В некоторых случаях доход от найденных бумаг не покрывает расходов на их поиск, но порой игра стоит свеч. Рассмотрим, каким должен быть порядок действий в разных ситуациях, можно ли сразу понять, когда н"
