ID вопроса,Вопрос,Референсный ответ,Релевантные документы,Контекст (превью)
1,Как просрочка по «беспроцентному» займу скажется на переплате/ПСК?,"В контексте нет информации о том, как именно просрочка по «беспроцентному» займу влияет на переплату или ПСК. В предоставленных фрагментах описаны общие правила ограничения переплаты и состав ПСК, но не рассмотрен частный случай беспроцентного займа с просрочкой.","doc_040,doc_078","Фрагмент (score: 0.88):
мальная переплата не может превышать сумму займа больше чем в 1,3 раза. При расчете переплаты учитываются не только проценты, но и штрафы, пени, плата за дополнительные услуги (например, страхование жизни и здоровья заемщика). Эти ограничения действуют с июля 2023 года.

То есть если вы займете в МФО 20 000 рублей, то в любом случае вам придется вернуть не больше: 20 000 (основной долг) + 26 000 (максимальная переплата) = 46 000 рублей.

Для займов, которые были получ"
2,"Как действовать вкладчику при отзыве лицензии, учитывая лимит безопасной суммы?","Согласно контексту, при отзыве лицензии у банка вкладчик гарантированно получит страховое возмещение в пределах 1,4 млн рублей со всех своих счетов и вкладов в этом банке, включая проценты. Для этого необходимо, чтобы банк имел лицензию Банка России и входил в систему страхования вкладов.

Чтобы обезопасить свои средства, нужно:
1. Убедиться, что у выбранного банка есть лицензия Банка России.
2. Следить, чтобы общая сумма на всех счетах и вкладах в одном банке (включая проценты) не превышала 1,4 млн рублей.

В некоторых случаях, согласно контексту, возможно получение повышенной страховки — до 10 млн рублей, но подробности этого механизма в предоставленном контексте не раскрываются.","doc_237,doc_102,doc_286","Фрагмент (score: 0.88):
 лиц, в том числе индивидуальных предпринимателей, защищает государственная система страхования вкладов. Даже если у банка отзовут лицензию, сумму в пределах 1,4 млн рублей вам возвратят быстро. Просто убедитесь, что у выбранной организации есть лицензия Банка России, а затем следите, чтобы на всех ваших счетах в одном банке у вас лежало не больше 1,4 млн рублей, включая проценты по вкладам.

Если же вы хотите положить на депозит сумму побольше или открыть счет для свое"
3,Как действовать при оспаривании незаконной продажи долга с учетом установленных сроков ответа на претензии?,"Согласно контексту, при оспаривании незаконной продажи долга (когда долг был уступлен без вашего разрешения) необходимо:
1.  Подать претензию организации, у которой вы брали в долг (первоначальному кредитору).
2.  Кредитор должен отреагировать на претензию **за 15 рабочих дней**. Если ему потребуются от вас дополнительные документы — **за 25 рабочих дней**.
3.  Если установленные сроки прошли, а ответа нет или он кажется формальным, следует жаловаться в Банк России.","doc_112,doc_264","Фрагмент (score: 0.87):
т перезвонить прежнему кредитору. Уточните, была ли передана задолженность и кому именно. Возможно, тревога ложная. Тогда стоит подать заявление на мошенников в полицию.

Если долг действительно передали другому кредитору, остаются два других варианта.

* **Долг продали с нарушениями.** Может оказаться, что банк, МФО или КПК действительно уступили ваш долг кому-то и не получили перед этим вашего разрешения. В этом случае вы имеете полное право отказаться от общения с "
4,Как изменился лимит социального вычета на спорт по сравнению с 2022 годом?,"Согласно контексту, лимит социального налогового вычета, в который входят и расходы на спорт, увеличился.

В 2022 году максимальная сумма расходов, с которых можно было получить вычет, составляла **120 000 рублей** в год. Это позволяло вернуть до **15 600 рублей** (120 000 х 13%).

С 2024 года лимит социального вычета был повышен до **150 000 рублей** в год. Это позволяет вернуть до **19 500 рублей** (150 000 х 13%) при стандартной ставке НДФЛ.","doc_176,doc_168","Фрагмент (score: 0.91):
Наступивший год принесет с собой новые законы и правила. Рассказываем о главных изменениях, которые могут повлиять на ваш бюджет. ## 1. Заниматься спортом станет выгоднее

С 2022 года можно будет получить налоговый вычет за физкультурно-спортивные услуги. Например, за покупку абонемента в фитнес-клуб или бассейн, оплату спортивных кружков и секций для детей, взносы за участие в соревнованиях.

Вы сможете платить меньше подоходного налога или вернуть часть уже перечисл"
5,Чем отличаются сроки обращения за наследством по закону от сроков для налогового имущественного вычета?,"В контексте нет информации о сроках обращения за наследством по закону. В предоставленных фрагментах упоминается только общий шестимесячный срок для подачи заявки нотариусу, но не проводится сравнение со сроками для налогового вычета.

Информация об имущественном налоговом вычете, содержащаяся в контексте, также не включает конкретных сроков для его обращения, за исключением указания, что вернуть можно налог, уплаченный за последние три года.","doc_316,doc_141,doc_014","Фрагмент (score: 0.87):
ого нотариуса вы тоже можете оставить заявку на наследство. Он принимает их в течение полугода после смерти наследодателя. Когда нотариус соберет заявки от всех претендентов на наследство, он определит, кто имеет право на имущество и в каких долях. На основе этого он составит свидетельства о праве на наследство для каждого из них. С этими свидетельствами они смогут получить имущество.

По закону вы имеете право получить в банке со счета умершего до 100 000 рублей на орг"
6,Почему при высокой долговой нагрузке банк может отказать в новом кредите?,"Согласно контексту, при высокой долговой нагрузке (высоком ПДН) банк может отказать в новом кредите по следующим причинам:

1.  **Высокий риск невозврата.** Банк видит опасность, что заемщик при малейших финансовых трудностях не справится с выплатами, может попасть в долговую яму или стать банкротом.
2.  **Снижение шансов на одобрение.** При ПДН выше 50% шансы на одобрение кредита резко снижаются.
3.  **Отрицательное влияние на кредитную историю.** Каждый отказ банка отражается в кредитной истории, что ухудшает восприятие заемщика другими банками и МФО в будущем. Новый банк может автоматически отклонить заявку, увидев предыдущие отказы.","doc_055,doc_148,doc_320","Фрагмент (score: 0.89):
ер, из-за роста процентной ставки при отмене страховки).

Но если ваша ситуация не является исключением, лучше самостоятельно оценить свою долговую нагрузку, прежде чем подавать кредитную заявку в банк или МФО.

## Зачем мне считать свой ПДН и как это сделать?

Во-первых, **важно самому понимать, точно ли долг вам по силам**. И лучше, когда можно положиться на точный расчет, а не только на догадки и интуицию. При высоком ПДН есть опасность при малейших финансовых тр"
7,Что сделать первым делом при обнаружении мошеннического списания с карты?,"Согласно контексту, первым делом при обнаружении мошеннического списания с карты необходимо немедленно заблокировать карту.","doc_338,doc_130,doc_172","Фрагмент (score: 0.89):
Пришло СМС, что с карты списали деньги, но вы ничего не покупали, переводы не делали и наличные не снимали. Вероятно, ваша карта или ее данные попали к мошенникам. Что делать и можно ли вернуть похищенное? Если коротко, то нужно: немедленно заблокировать карту, сообщить в банк по горячей линии о краже денег и написать в отделении банка заявление о несогласии с операцией. Сделать все это необходимо не позднее следующего дня после того, как банк уведомил вас об операции, ко"
8,"Куда обращаться, если заемные деньги ушли мошенникам?","Согласно контексту, если заемные деньги ушли мошенникам, необходимо обращаться в полицию. Перед этим следует собрать все документы: договоры и квитанции о денежных переводах.

Кроме того, полезно сообщить о мошенниках в свой банк и в банк, на счёт которого были переведены деньги, а также в Банк России через интернет-приёмную или форму анонимного информирования.","doc_250,doc_037,doc_063","Фрагмент (score: 0.89):
Регулятор сможет заблокировать этот сайт, а также собрать и передать информацию о мошенниках в прокуратуру.

Если вы уже успели оформить заем или передать деньги обманщикам, обращайтесь в полицию. Перед этим соберите как можно больше документов и информации: договоры, которые вы заключили, квитанции на денежные переводы.

Не замалчивайте случаи, когда вам встречаются мошенники. Преступникам выгодно ваше бездействие. Чем раньше вы сообщите о них в полицию, тем быстрее "
9,Как с помощью госгарантий повысить шанс одобрения и какую долю кредита они покрывают?,"На основе контекста можно ответить следующее:

С помощью государственных гарантий (поручительств Корпорации МСП или РГО) можно повысить шанс одобрения кредита, когда у бизнеса нет достаточного имущества для залога или его стоимость невелика. Эти организации выступают поручителями перед банком, гарантируя погашение части долга в случае невозможности выплат со стороны заемщика.

Что касается доли покрытия:
* Поручительство по **зонтичному механизму Корпорации МСП** покрывает до 50% суммы кредита.
* В контексте также указано, что банки иногда позволяют привлечь одновременно и Корпорацию МСП, и РГО, и в сумме их гарантии могут покрывать **70–90%** от размера кредита.

Таким образом, госгарантии компенсируют банку отсутствие залога и существенно снижают его риски, повышая вероятность одобрения кредита для малого и среднего бизнеса.","doc_150,doc_180","Фрагмент (score: 0.89):
е производит и не продает подакцизные товары.

У каждой программы госгарантий могут быть дополнительные требования к заемщикам.

## Какие гарантийные программы существуют?

Есть несколько вариантов государственной поддержки:

### Зонтичный механизм поручительств Корпорации МСП

* Размер поручительства по кредиту (или нескольким кредитам) на одного предпринимателя составляет до 1 млрд рублей на срок до 10 лет. Поручительство покрывает до 50% суммы кредита.
* Кре"
10,Почему вклад безопаснее инвестиций в ценные бумаги?,"Согласно контексту, вклад безопаснее инвестиций в ценные бумаги по двум основным причинам:

1.  **Гарантии возврата средств.** Проценты по депозитам известны заранее, и даже если у банка отзовут лицензию, государство вернёт вкладчикам деньги в пределах 1,4 млн рублей (система страхования вкладов).
2.  **Предсказуемость и стабильность.** На бирже такой страховки нет, и падения стоимости ценных бумаг происходят гораздо чаще, чем банкротства банков. Инвестиции не имеют ни гарантированной доходности, ни государственной защиты.","doc_163,doc_171,doc_307","Фрагмент (score: 0.90):
У Ксении есть вклад в банке, но проценты ей кажутся слишком низкими. Она думает снять деньги с депозита и инвестировать их на фондовом рынке. Разбираемся, стоит ли вкладывать все сбережения в ценные бумаги, как выйти на биржу и с чего начать, если вы все же хотите рискнуть. ## Зачем инвестировать и подходит ли это мне?

На инвестициях действительно можно заработать больше, чем на банковских вкладах, но при этом есть вероятность все потерять. Проценты по депозитам извест"
11,"Каковы сроки блокировки перевода, а также решения финомбудсмена?","В контексте нет информации о сроках блокировки перевода. 

Что касается сроков решения финансового омбудсмена, в контексте указано следующее:
*   **В течение 15 рабочих дней** — если обращение не касается перевода пенсионных накоплений.
*   **В течение 20 рабочих дней** — если хотите оспорить передачу пенсионных накоплений из одного фонда в другой.
*   **В течение 30 рабочих дней** — если заявление подаётся через посредника (независимо от темы).
*   Срок может быть продлён **не более чем на 10 рабочих дней**, если требуется заключение независимых экспертов.",doc_264,"Фрагмент (score: 0.90):
 трех рабочих дней** после того, как омбудсмен получит заявление, вам придет ответ, будет ли он рассматривать претензию или спор не относится к его компетенции. Если заявление примут, за ходом дела можно следить через личный кабинет на сайте уполномоченного. Вам также будут присылать уведомления на мобильный телефон и электронную почту.

Уполномоченный вынесет решение:

* **в течение 15 рабочих дней** с момента получения вашего заявления — при условии, что обращение н"
